Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
1,Toyota,2000,2.6,Petrol,Automatic,269013,Like New,35653.47,Corolla
2,Mercedes,2000,1.0,Diesel,Manual,149333,Like New,98190.42,E-Class
3,Toyota,2000,4.2,Hybrid,Automatic,184681,Used,37912.87,Camry
4,Audi,2000,3.2,Electric,Manual,137046,Like New,96270.31,Q7
5,BMW,2000,3.1,Hybrid,Manual,296753,Used,64720.38,3 Series
6,BMW,2000,1.1,Petrol,Manual,9404,Used,19504.91,X5
7,Ford,2000,5.9,Electric,Automatic,145711,Like New,59161.45,Fiesta
8,Audi,2000,4.4,Diesel,Manual,144535,Used,77050.35,A3
9,Mercedes,2000,3.3,Hybrid,Manual,27268,New,6493.08,GLA
10,Toyota,2000,4.3,Hybrid,Automatic,10204,New,71574.06,Prius
11,Toyota,2000,4.4,Electric,Automatic,154509,Used,8818.88,Corolla
12,Honda,2000,1.7,Hybrid,Manual,86569,Like New,67733.57,CR-V
13,Toyota,2000,4.4,Petrol,Manual,267104,Used,82109.97,Camry
14,Mercedes,2000,2.8,Hybrid,Automatic,74442,New,95895.7,GLA
15,Ford,2000,3.9,Electric,Automatic,109525,Like New,8798.68,Focus
16,Ford,2000,1.8,Diesel,Automatic,245256,Used,47914.6,Fiesta
17,Honda,2000,5.0,Diesel,Automatic,42192,Like New,29031.25,Accord
18,Toyota,2000,4.5,Diesel,Automatic,219478,New,9731.03,Prius
19,Toyota,2000,5.6,Diesel,Manual,278606,Like New,61357.58,Corolla
20,Mercedes,2000,2.8,Petrol,Automatic,243942,Used,83717.58,GLC
21,Toyota,2000,3.2,Hybrid,Manual,120623,Like New,98493.27,RAV4
22,Ford,2000,5.2,Diesel,Manual,296177,Like New,75343.05,Mustang
23,Ford,2000,5.4,Electric,Automatic,91707,Used,41260.39,Mustang
24,Toyota,2000,3.2,Petrol,Automatic,196681,Used,89587.88,Corolla
25,Audi,2000,5.1,Hybrid,Automatic,179810,New,40899.14,A3
26,Audi,2000,3.2,Electric,Automatic,40985,Used,61889.23,Q7
27,Ford,2000,1.1,Diesel,Automatic,29072,Used,58686.65,Mustang
28,BMW,2000,5.5,Electric,Manual,23645,New,97165.62,5 Series
29,Tesla,2000,2.8,Electric,Automatic,221968,Like New,15601.56,Model Y
30,Audi,2000,5.4,Diesel,Manual,3823,Used,66129.83,Q5
31,Toyota,2000,3.7,Diesel,Automatic,287442,Like New,34750.31,Corolla
32,Tesla,2000,4.2,Diesel,Automatic,141879,Used,88284.55,Model S
33,Ford,2000,2.2,Hybrid,Manual,201225,Like New,36281.01,Mustang
34,BMW,2000,4.0,Petrol,Automatic,258815,Like New,7657.33,X5
35,Mercedes,2000,1.4,Electric,Manual,36491,New,27698.24,E-Class
36,Mercedes,2000,2.6,Hybrid,Manual,21292,Like New,23078.8,GLA
37,Audi,2000,4.4,Diesel,Automatic,23446,New,97156.13,A4
38,BMW,2000,3.4,Electric,Manual,61600,Like New,18891.04,X5
39,Honda,2000,2.1,Petrol,Manual,55746,Used,20227.88,Fit
40,Mercedes,2000,2.8,Hybrid,Manual,138691,New,23948.57,E-Class
41,Audi,2000,3.0,Electric,Automatic,181502,New,54041.95,Q7
42,Tesla,2000,2.1,Hybrid,Manual,138117,New,74221.02,Model X
43,Audi,2000,3.6,Diesel,Manual,115042,New,55278.28,Q5
44,Mercedes,2000,3.9,Petrol,Manual,204120,New,36094.75,E-Class
45,Mercedes,2000,4.6,Diesel,Manual,275333,New,38235.97,GLC
46,Mercedes,2000,2.7,Hybrid,Automatic,149979,Like New,29078.1,E-Class
47,Audi,2000,2.0,Petrol,Manual,43555,Like New,16615.92,A3
48,Audi,2000,6.0,Diesel,Manual,68232,Like New,60799.03,A3
49,Tesla,2000,1.8,Electric,Automatic,45704,Like New,66759.55,Model X
50,Honda,2000,4.7,Diesel,Automatic,102566,Used,90321.17,CR-V
51,BMW,2000,4.0,Diesel,Manual,71240,New,80341.84,5 Series
52,Audi,2000,2.1,Petrol,Manual,209496,Like New,91080.62,Q7
53,Honda,2000,3.8,Petrol,Automatic,143063,New,59841.61,CR-V
54,Audi,2000,5.7,Hybrid,Automatic,225295,Used,49105.69,Q5
55,Honda,2000,2.7,Electric,Manual,284331,Used,34378.61,Civic
56,Audi,2000,1.0,Diesel,Automatic,170100,Used,67396.71,Q5
57,Toyota,2000,4.1,Electric,Automatic,195868,Used,22034.71,Camry
58,Ford,2000,1.4,Hybrid,Automatic,128279,Like New,85941.03,Fiesta
59,Ford,2000,5.5,Diesel,Automatic,271372,New,99605.33,Focus
60,BMW,2000,1.4,Hybrid,Automatic,56965,New,35091.12,X3
61,Tesla,2000,4.7,Electric,Manual,221576,Like New,7690.81,Model X
62,BMW,2000,2.1,Electric,Automatic,114300,Like New,40673.26,5 Series
63,Audi,2000,5.3,Petrol,Automatic,271258,Like New,38681.7,A3
64,Honda,2000,4.2,Electric,Manual,141929,Like New,12104.41,CR-V
65,Audi,2000,5.6,Petrol,Automatic,254809,Used,74765.48,Q7
66,Honda,2000,3.7,Petrol,Manual,86879,Like New,65977.95,Fit
67,Audi,2000,2.8,Hybrid,Automatic,263272,New,32454.14,A3
68,Audi,2000,3.8,Diesel,Automatic,277045,Used,85719.15,Q5
69,Tesla,2000,1.7,Hybrid,Automatic,229303,New,21792.22,Model 3
70,Toyota,2000,2.8,Electric,Automatic,188873,Used,91057.57,Corolla
71,Mercedes,2000,5.4,Hybrid,Manual,31153,New,21221.2,C-Class
72,Ford,2000,4.0,Petrol,Manual,116869,New,67173.69,Fiesta
73,Tesla,2000,1.7,Hybrid,Manual,40308,New,21314.46,Model S
74,BMW,2000,4.6,Petrol,Automatic,28810,New,70569.63,3 Series
75,Audi,2000,1.0,Hybrid,Manual,166471,Like New,81937.8,A3
76,Tesla,2000,3.7,Petrol,Manual,49116,Like New,23395.18,Model 3
